t,phase,uav_a,uav_b,distance_m
20.907,hover,2,3,1.4727107203446266
20.941,hover,2,3,1.4726753177203429
20.975,hover,2,3,1.4726541375894846
21.009,hover,2,3,1.4726509475915652
21.043,hover,2,3,1.4726691403925263
21.077,hover,2,3,1.472711245802308
21.112,hover,2,3,1.472783004077065
21.146,hover,2,3,1.4728830971052382
21.18,hover,2,3,1.4730115506110364
21.214,hover,2,3,1.4731661509908638
21.248,hover,2,3,1.4733452437525913
21.282,hover,2,3,1.4735446995312964
21.316,hover,2,3,1.4737602568428119
21.35,hover,2,3,1.4739910844921194
21.385,hover,2,3,1.4742428326102437
21.419,hover,2,3,1.4744973797621974
21.453,hover,2,3,1.47476115355746
21.488,hover,2,3,1.4750502323483232
21.522,hover,2,3,1.4753221759943245
21.556,hover,2,3,1.475607301669215
21.591,hover,2,3,1.4759024054677654
21.625,hover,1,2,1.4760828604263527
21.659,hover,1,2,1.4760814263265494
21.693,hover,1,2,1.4760777481693799
21.727,hover,1,2,1.476071299063222
21.761,hover,1,2,1.4760627401479618
21.795,hover,1,2,1.4760523501082825
21.829,hover,1,2,1.4760403330899596
21.863,hover,1,2,1.4760270266384168
21.897,hover,1,2,1.4760115153590292
21.931,hover,1,2,1.4759921302098378
21.965,hover,1,2,1.4759663016689648
21.999,hover,1,2,1.4759316302536019
22.033,hover,1,2,1.4758876057777341
22.068,hover,1,2,1.4758340205897575
22.102,hover,1,2,1.4757773939219814
22.136,hover,1,2,1.4757197808982845
22.17,hover,1,2,1.4756635053714189
22.204,hover,1,2,1.4756096119018003
22.238,hover,1,2,1.4755577180851942
22.272,hover,1,2,1.4755057574146277
22.306,hover,1,2,1.4754524619152958
22.34,hover,1,2,1.4753963452141483
22.374,hover,1,2,1.4753382085640567
22.408,hover,1,2,1.4752802959574858
22.443,hover,1,2,1.4752221725076324
22.477,hover,1,2,1.4751564903239403
22.511,hover,1,2,1.4750856552627425
22.545,hover,1,2,1.475028188124062
22.579,hover,1,2,1.4749392804687558
22.613,hover,1,2,1.4748672983152062
22.647,hover,1,2,1.4747994942516462
22.681,hover,1,2,1.4747361855592904
22.715,hover,1,2,1.4746799712434742
22.749,hover,1,2,1.4746340067330945
22.783,hover,1,2,1.4746034693868029
22.817,hover,1,2,1.4745838865349732
22.852,hover,1,2,1.4745765848505061
22.886,hover,1,2,1.4745852424995527
22.92,hover,1,2,1.4746122684531167
22.954,hover,1,2,1.4746571306682204
22.988,hover,1,2,1.4747166911693514
23.022,hover,1,2,1.4747852474663685
23.056,hover,1,2,1.4748591906345345
23.09,hover,1,2,1.4749358170555813
23.124,hover,1,2,1.4750111456874946
23.158,hover,1,2,1.4750809791093957
23.192,hover,1,2,1.4751420651500564
23.226,hover,1,2,1.4751911191040317
23.26,hover,1,2,1.4752257190641398
23.294,hover,1,2,1.4752439662163894
23.328,hover,1,2,1.4752449703599253
23.362,hover,1,2,1.475230457143499
23.396,hover,1,2,1.4752028732896572
23.43,hover,1,2,1.4751676598734285
23.465,hover,1,2,1.4751361474094014
23.499,hover,1,2,1.4751220076649842
23.533,hover,1,2,1.4751302990260762
23.568,hover,1,2,1.4751661342572069
23.602,hover,1,2,1.4752281887375112
23.636,hover,1,2,1.4753123948235485
23.67,hover,2,3,1.4753337518610632
23.704,hover,2,3,1.4751689607486778
23.738,hover,2,3,1.4750043395693826
23.772,hover,2,3,1.4748452667898404
23.806,hover,2,3,1.474696737985352
23.84,hover,2,3,1.474560788932392
23.874,hover,2,3,1.4744389091901617
23.908,hover,2,3,1.4743327907892818
23.942,hover,2,3,1.4742445044430705
23.977,hover,2,3,1.4741735546073529
24.011,hover,2,3,1.47412354695565
24.045,hover,2,3,1.4740887984137303
24.079,hover,2,3,1.4740662327835934
24.113,hover,2,3,1.4740564598793975
24.147,hover,2,3,1.4740611936282086
24.181,hover,2,3,1.4740799178333501
24.215,hover,2,3,1.4741119104957408
24.25,hover,2,3,1.4741568734039097
24.285,hover,2,3,1.4742089390575552
24.319,hover,2,3,1.4742639224062057
24.353,hover,2,3,1.4743233198294572
24.387,hover,2,3,1.4743882416259688
24.421,hover,2,3,1.474461872374521
24.455,hover,2,3,1.4745482726729928
24.489,hover,2,3,1.4746488450882915
24.523,hover,2,3,1.4747631623835777
24.557,hover,2,3,1.474891767406505
24.591,hover,2,3,1.4750361723998282
24.625,hover,2,3,1.4751942402968343
24.659,hover,2,3,1.4753628834729973
24.693,hover,2,3,1.475538772188386
24.727,hover,2,3,1.4757195448653464
24.761,hover,2,3,1.4759058408419883
24.795,hover,2,3,1.4760962926005716
24.829,hover,2,3,1.4762888801275156
24.863,hover,2,3,1.4764817806075223
24.898,hover,2,3,1.4766766382701433
24.932,hover,2,3,1.4768573206677522
24.966,hover,1,2,1.4768047978435805
25.0,hover,1,2,1.4767343032441527
25.034,hover,1,2,1.4766793784859906
25.068,hover,1,2,1.4766414907192476
25.102,hover,1,2,1.476620083655039
25.136,hover,1,2,1.476615027507844
25.171,hover,1,2,1.4766270271168063
25.205,hover,1,2,1.4766525632875165
25.239,hover,1,2,1.4766837306188862
25.273,hover,1,2,1.4767086209020819
25.307,hover,1,2,1.476717171011986
25.341,hover,1,2,1.476704574098321
25.375,hover,1,2,1.4766676315744096
25.409,hover,1,2,1.4766058024373763
25.443,hover,1,2,1.4765184806803242
25.477,hover,1,2,1.4764049907840284
25.513,hover,1,2,1.4762650899333472
25.549,hover,1,2,1.47609604423712
25.583,hover,1,2,1.475922318173004
25.617,hover,1,2,1.4757527063988978
25.651,hover,1,2,1.4755775956624002
25.685,hover,1,2,1.4754075986150166
25.719,hover,1,2,1.4752499420429597
25.753,hover,1,2,1.475110021253464
25.787,hover,1,2,1.47499218871667
25.821,hover,1,2,1.4748995236441935
25.856,hover,1,2,1.4748322345766238
25.89,hover,1,2,1.474793291155873
25.924,hover,1,2,1.4747758142016458
25.958,hover,1,2,1.4747743469258012
25.992,hover,1,2,1.4747842791728578
26.027,hover,1,2,1.4748022656378814
26.061,hover,1,2,1.4748231443875452
26.095,hover,1,2,1.4748448205734455
26.129,hover,1,2,1.47486595224826
26.163,hover,1,2,1.4748870281576363
26.197,hover,1,2,1.4749128590247613
26.231,hover,1,2,1.4749465860322637
26.265,hover,1,2,1.4749940507190313
26.299,hover,1,2,1.4750573090142955
26.333,hover,1,2,1.4751373565976431
26.367,hover,1,2,1.4752320877943077
26.401,hover,1,2,1.4753346786724106
26.435,hover,1,2,1.4754377272331824
26.469,hover,1,2,1.4755343487341863
26.503,hover,1,2,1.4756172843963524
26.537,hover,1,2,1.4756814840768366
26.571,hover,1,2,1.4757277375633544
26.605,hover,1,2,1.475760109340351
26.639,hover,1,2,1.4757845629423263
26.673000000000002,hover,1,2,1.4758055491898494
26.707,hover,1,2,1.475821696380862
26.741,hover,1,2,1.4758331457153502
26.775,hover,1,2,1.475841445862036
26.809,hover,2,3,1.4756021754080788
26.843,hover,2,3,1.4752799534852787
26.877,hover,2,3,1.4749716104573667
26.911,hover,2,3,1.474683358406147
26.945,hover,2,3,1.4744178315547496
